Total_No_Invoice_Generated,Total_No_of_Items,Total_Spend,Types_Prod_Purchased,Recency,cluster,dbscan_cluster,gmm_cluster,kmeans_cluster
3,1088,1843.96,95,71,3,-1,0,3
6,2058,2995.72,150,88,3,-1,0,2
6,1012,1611.59,74,46,3,-1,0,2
6,1021,2481.13,64,44,3,-1,0,2
8,1731,2552.21,99,16,3,-1,0,2
4,1759,1614.91,77,16,3,-1,0,3
8,1397,2166.98,109,45,3,-1,0,2
4,1139,2118.03,104,31,3,-1,0,2
3,795,1727.6,125,32,3,-1,0,3
8,1941,3212.84,126,10,3,-1,0,2
6,827,1449.32,70,33,3,-1,0,2
6,1415,2157.73,67,107,3,-1,0,2
7,1610,2599.03,61,10,3,-1,0,2
6,1230,2059.4500000000003,40,71,3,-1,0,2
3,1711,1937.25,114,3,3,-1,0,3
5,588,2357.6800000000003,34,8,3,-1,0,2
7,1006,2272.4,37,29,3,-1,0,2
8,1135,1852.67,153,103,3,-1,0,2
6,1627,2022.81,110,18,3,-1,0,2
6,712,1165.48,112,26,3,-1,0,2
5,1285,2383.2400000000002,95,7,3,-1,0,2
5,1098,1957.32,161,42,3,-1,0,2
6,1110,2076.89,69,17,3,-1,0,2
6,1395,2862.11,141,25,3,14,0,2
8,641,1453.35,71,58,3,-1,0,2
2,1536,2004.3,98,24,3,-1,0,3
4,1443,2279.4900000000002,147,10,3,-1,0,2
4,1540,3099.12,111,95,3,-1,0,2
4,1228,1320.21,139,15,3,-1,0,3
6,978,1740.6,94,19,3,-1,0,2
5,993,1788.3600000000001,80,1,3,5,0,2
4,1403,2791.27,108,23,3,-1,0,2
6,1431,2984.49,140,52,3,14,0,2
6,880,2107.38,87,24,3,-1,0,2
4,1004,1402.59,149,4,3,-1,0,3
7,945,1926.65,156,1,3,-1,0,2
4,1089,1932.23,35,8,3,-1,0,2
5,740,1835.7,63,60,3,-1,0,2
5,1004,1736.4,39,3,3,9,0,2
5,707,2114.33,52,30,3,-1,0,2
7,1630,2078.95,117,4,3,-1,0,2
5,602,1217.27,148,1,3,-1,0,3
3,1314,2195.1,80,32,3,-1,0,2
8,1405,2702.4900000000002,105,8,3,-1,0,2
5,1223,1415.75,87,29,3,5,0,2
6,1349,2473.37,112,8,3,-1,0,2
7,673,1319.91,68,2,3,-1,0,2
6,734,1720.3,43,17,3,4,0,2
4,1436,1649.5,96,89,3,-1,0,3
6,1778,3295.76,104,53,3,-1,0,2
4,1166,2824.69,129,43,3,-1,0,2
4,1833,3189.81,87,63,3,-1,0,2
6,1747,2836.69,96,58,3,-1,0,2
7,1820,2740.03,110,78,3,-1,0,2
8,1405,2953.59,97,3,3,-1,0,2
6,1001,1269.31,87,23,3,-1,0,2
2,1985,1025.44,66,2,3,-1,0,3
4,1743,1227.43,75,35,3,-1,0,3
3,1160,2362.96,116,108,3,-1,0,2
5,1159,1472.34,150,9,3,-1,0,2
5,523,1921.3700000000001,136,72,3,-1,0,2
4,862,1641.76,94,115,3,-1,0,3
3,1216,1737.69,68,25,3,-1,0,3
3,1010,1383.3600000000001,130,23,3,-1,0,3
4,1383,3158.13,148,37,3,-1,0,2
6,1359,2420.84,139,10,3,-1,0,2
7,1211,2298.93,90,18,3,-1,0,2
5,1181,1422.52,90,17,3,5,0,2
5,1948,1551.78,66,14,3,-1,0,2
2,1195,2199.31,93,7,3,-1,0,3
4,1343,1471.0,75,60,3,-1,0,3
8,887,1387.99,46,14,3,-1,0,2
7,1572,2354.25,74,52,3,-1,0,2
2,1473,1327.16,90,164,3,-1,0,3
5,1610,1609.05,105,8,3,-1,0,2
5,1938,2206.95,91,18,3,-1,0,2
6,1753,1827.8,84,25,3,-1,0,2
8,1254,1661.44,109,1,3,-1,0,2
6,1393,1778.96,110,51,3,-1,0,2
4,1071,1412.32,94,1,3,3,0,3
5,1369,1706.57,58,44,3,-1,0,2
8,1817,1741.44,81,66,3,-1,0,2
3,1784,2515.84,55,134,3,-1,0,2
7,885,1810.77,62,100,3,-1,0,2
7,1521,2379.49,22,15,3,-1,0,2
5,775,2306.52,80,43,3,-1,0,2
3,1181,2748.31,84,70,3,-1,0,2
7,742,1934.66,160,12,3,-1,0,2
7,1084,2314.32,65,25,3,-1,0,2
4,1057,1877.59,91,57,3,3,0,2
7,830,2386.05,65,40,3,-1,0,2
4,1277,1535.53,74,4,3,3,0,3
4,910,2183.54,56,9,3,-1,0,2
8,1200,3450.84,48,84,3,-1,0,2
3,1281,2564.5,59,30,3,-1,0,2
6,1645,3085.09,108,95,3,-1,0,2
8,1263,1921.55,137,64,3,-1,0,2
8,1836,3000.2,119,40,3,-1,0,2
8,991,2428.53,129,18,3,-1,0,2
4,938,1497.31,91,21,3,3,0,3
4,1501,1400.44,88,22,3,-1,0,3
5,983,1771.78,85,15,3,5,0,2
4,1562,1887.2,101,105,3,-1,0,2
2,1654,2222.21,92,168,3,-1,0,3
7,1697,2627.13,51,18,3,-1,0,2
4,1451,2726.23,108,88,3,-1,0,2
5,1275,2446.6,88,73,3,-1,0,2
8,1015,2711.11,141,33,3,-1,0,2
4,1028,2293.62,79,140,3,-1,0,2
7,1217,3235.25,125,40,3,-1,0,2
5,1023,2211.21,45,35,3,-1,0,2
8,596,1173.1200000000001,59,14,3,-1,0,2
6,1427,2364.25,127,10,3,-1,0,2
6,2050,3279.97,150,88,3,-1,0,2
3,864,2614.7400000000002,34,9,3,-1,0,2
5,1612,2328.9700000000003,60,32,3,-1,0,2
8,860,2708.61,70,1,3,-1,0,2
6,1071,2218.62,117,22,3,-1,0,2
5,922,1801.14,37,107,3,-1,0,2
4,1271,1945.33,63,16,3,3,0,2
5,1856,2100.6,33,63,3,-1,0,2
4,1357,1905.45,96,49,3,-1,0,2
5,1163,1427.57,146,15,3,-1,0,2
8,437,965.16,106,40,3,-1,0,2
6,1192,1936.3200000000002,16,22,3,-1,0,2
7,544,1567.69,114,19,3,-1,0,2
8,752,1502.8600000000001,124,16,3,-1,0,2
8,891,1657.28,63,15,3,-1,0,2
3,1560,2398.86,40,88,3,-1,0,2
8,1866,3408.48,56,24,3,-1,0,2
7,1533,1432.77,110,12,3,-1,0,2
5,1185,2735.37,82,29,3,-1,0,2
8,602,1465.51,157,3,3,-1,0,2
3,1584,3166.4,6,30,3,-1,0,2
2,1793,1511.95,81,32,3,-1,0,3
7,863,2263.12,109,16,3,-1,0,2
6,641,1453.16,126,65,3,-1,0,2
5,935,1521.04,77,16,3,5,0,2
7,613,2005.63,34,87,3,-1,0,2
7,1176,3204.1600000000003,16,17,3,-1,0,2
5,988,1880.22,76,17,3,5,0,2
6,919,2424.94,77,3,3,-1,0,2
5,1047,2053.02,91,42,3,5,0,2
5,1073,1824.23,78,49,3,5,0,2
4,1325,1822.97,71,8,3,3,0,2
6,1770,1885.05,106,50,3,-1,0,2
4,1286,1863.47,74,3,3,3,0,2
5,1178,2247.62,37,88,3,-1,0,2
4,1116,1295.3,90,57,3,3,0,3
5,950,1800.07,67,52,3,5,0,2
8,1767,2619.91,149,16,3,-1,0,2
5,1024,1404.64,90,2,3,5,0,2
3,1046,1502.78,102,21,3,6,0,3
5,1236,1570.81,119,5,3,-1,0,2
8,1484,2938.91,122,64,3,-1,0,2
7,797,1582.8,126,28,3,-1,0,2
4,1398,1971.87,60,24,3,3,0,2
7,805,1415.65,158,32,3,-1,0,2
4,1302,2027.5,83,1,3,3,0,2
3,1030,1545.41,91,18,3,6,0,3
4,1410,2157.4,87,4,3,3,0,2
5,1472,1482.06,153,60,3,-1,0,2
5,1304,2022.98,147,36,3,-1,0,2
7,760,1511.8,88,29,3,-1,0,2
7,988,1841.18,69,63,3,-1,0,2
5,1147,2158.18,82,99,3,5,0,2
4,1163,1422.4,74,21,3,3,0,3
3,952,1298.66,152,19,3,-1,0,3
7,785,1595.96,103,33,3,-1,0,2
7,1415,2494.46,111,63,3,-1,0,2
3,1111,1599.52,92,8,3,6,0,3
6,1396,2965.69,128,49,3,14,0,2
5,826,1624.14,89,52,3,5,0,2
7,915,1244.59,68,22,3,-1,0,2
5,1540,2298.97,163,108,3,-1,0,2
7,1890,3313.79,145,66,3,-1,0,2
3,1239,1421.69,74,26,3,6,0,3
5,1363,2647.59,79,31,3,-1,0,2
5,1205,2188.05,79,29,3,5,0,2
6,1137,2868.1,114,17,3,-1,0,2
4,1130,874.43,158,9,3,-1,0,3
3,881,1348.88,141,23,3,-1,0,3
6,1407,1770.34,19,72,3,-1,0,2
5,851,3029.87,65,84,3,-1,0,2
7,1175,1770.22,109,14,3,-1,0,2
5,945,1358.74,122,26,3,-1,0,3
5,1532,2247.41,90,78,3,-1,0,2
7,2035,2213.13,90,29,3,-1,0,2
3,1058,1475.43,134,114,3,-1,0,3
6,898,1545.6200000000001,88,3,3,-1,0,2
6,1253,2812.34,131,22,3,14,0,2
5,1069,2095.53,94,67,3,5,0,2
7,746,1491.43,120,30,3,-1,0,2
7,1381,3037.6,118,5,3,-1,0,2
7,929,1295.39,51,3,3,-1,0,2
7,1981,2154.97,8,8,3,-1,0,2
6,865,1852.0,64,3,3,4,0,2
7,1335,1905.87,113,12,3,-1,0,2
7,401,1616.8,75,3,3,-1,0,2
5,860,1614.31,84,10,3,5,0,2
4,998,1735.18,100,32,3,3,0,2
7,770,1461.14,67,21,3,-1,0,2
4,759,1446.09,142,17,3,-1,0,3
2,1049,2003.85,76,33,3,-1,0,3
2,1702,2747.9900000000002,146,35,3,-1,0,2
5,785,1562.4,115,123,3,-1,0,2
6,1858,2035.08,75,7,3,-1,0,2
4,868,1991.01,98,28,3,3,0,2
7,903,1974.65,45,4,3,-1,0,2
4,1130,1774.03,99,50,3,3,0,2
8,459,954.42,153,2,3,-1,0,2
5,983,2463.17,78,5,3,5,0,2
7,1224,1139.73,35,16,3,-1,0,2
3,1111,1538.88,97,21,3,6,0,3
7,1501,2467.35,92,32,3,-1,0,2
6,1296,3347.31,42,7,3,-1,0,2
7,1328,2474.23,71,11,3,-1,0,2
7,1166,2093.68,164,28,3,-1,0,2
7,1254,1699.3000000000002,18,35,3,-1,0,2
8,1323,2317.2200000000003,153,26,3,-1,0,2
7,1176,2781.23,86,40,3,-1,0,2
8,1532,1906.09,145,15,3,-1,0,2
4,1778,2148.63,71,42,3,-1,0,2
3,1866,1685.46,79,130,3,-1,0,3
7,1201,1417.63,118,9,3,-1,0,2
1,1402,2328.84,24,31,3,-1,0,3
8,1896,2527.92,120,24,3,-1,0,2
3,1146,2600.34,8,46,3,-1,0,2
7,760,906.52,127,15,3,-1,0,2
8,1377,1878.87,93,23,3,-1,0,2
6,1902,2686.42,23,7,3,-1,0,2
3,780,2184.42,99,333,3,-1,0,3
7,1693,2373.82,100,2,3,-1,0,2
6,1496,2248.56,98,36,3,-1,0,2
7,1203,1721.4,84,1,3,-1,0,2
5,787,1870.97,63,16,3,-1,0,2
5,1675,1125.07,67,44,3,-1,0,3
7,1134,2092.32,63,0,3,-1,0,2
6,1236,1844.02,60,17,3,-1,0,2
5,1763,1952.45,58,1,3,-1,0,2
3,821,1453.02,161,2,3,-1,0,3
7,1000,2203.67,81,73,3,-1,0,2
6,1808,2048.45,118,53,3,-1,0,2
8,1628,1799.12,105,5,3,-1,0,2
4,1408,1192.56,43,36,3,-1,0,3
7,1116,2638.94,66,10,3,-1,0,2
5,1399,1674.69,68,73,3,5,0,2
7,797,1802.91,63,25,3,-1,0,2
5,1033,2055.51,86,66,3,5,0,2
7,1916,3406.7200000000003,47,42,3,-1,0,2
2,1690,3178.17,105,50,3,-1,0,2
6,1462,1594.97,117,1,3,-1,0,2
6,922,1371.18,49,4,3,-1,0,2
6,1367,2474.33,49,10,3,-1,0,2
7,1907,3155.83,90,16,3,-1,0,2
8,1756,2285.71,78,38,3,-1,0,2
4,1266,2534.64,116,16,3,-1,0,2
4,1353,1824.37,59,30,3,3,0,2
4,1595,2424.04,111,96,3,-1,0,2
6,792,3276.4000000000005,4,127,3,-1,0,2
3,1469,2876.01,154,3,3,-1,0,2
4,1029,1879.05,89,19,3,3,0,2
7,861,2791.35,30,11,3,-1,0,2
5,1816,1664.65,82,0,3,-1,0,2
3,1122,2081.9,77,8,3,-1,0,2
4,896,1817.54,94,152,3,-1,0,2
8,510,1541.23,111,42,3,-1,0,2
5,1831,2720.8,96,26,3,-1,0,2
5,1035,1848.96,24,80,3,-1,0,2
8,973,716.0,60,21,3,-1,0,2
8,404,1118.96,128,71,3,-1,0,2
7,1160,2962.5,26,11,3,-1,0,2
5,1594,1740.48,26,35,3,-1,0,2
5,1027,1477.66,91,32,3,5,0,2
4,1392,2106.52,31,93,3,-1,0,2
6,1662,2662.4,66,7,3,-1,0,2
4,1220,2106.84,23,86,3,-1,0,2
4,983,1590.81,81,128,3,-1,0,3
6,1360,1793.17,86,9,3,-1,0,2
6,1721,1843.75,108,4,3,-1,0,2
3,1168,2001.04,64,15,3,-1,0,3
3,1190,1975.35,160,71,3,-1,0,3
6,1398,2621.38,110,1,3,-1,0,2
7,1316,2810.2000000000003,33,9,3,-1,0,2
5,819,2071.77,106,192,3,-1,0,2
3,1578,1796.48,100,71,3,-1,0,3
4,1017,2232.4900000000002,72,72,3,-1,0,2
7,1788,2567.06,153,7,3,-1,0,2
8,1041,2337.63,99,39,3,-1,0,2
6,1475,2628.35,86,172,3,-1,0,2
3,1468,1213.1599999999999,58,25,3,-1,0,3
6,2050,3078.58,101,2,3,-1,0,2
3,1586,1837.28,59,42,3,-1,0,3
