,Total_No_Invoice_Generated,Total_No_of_Items,Total_Spend,Recency
466,7,707,1246.1,15
467,1,1236,1043.1,81
468,3,159,403.7000000000001,21
469,1,1783,2169.39,336
470,2,90,482.05,18
471,1,23,73.5,232
472,3,894,1304.81,134
473,2,271,397.88,26
474,1,55,176.5,284
475,2,353,982.57,142
476,2,96,132.18,66
477,1,462,612.29,112
478,1,440,1017.68,267
479,1,131,383.7,353
480,2,875,1312.06,77
481,5,1318,2056.89,0
482,1,175,330.84,63
483,5,1439,2634.26,79
484,1,309,599.68,142
485,2,194,192.72,39
486,3,632,1316.66,0
487,3,234,348.71000000000004,81
488,6,756,1933.48,9
489,4,913,1662.28,59
490,1,45,125.22,14
491,1,153,349.83000000000004,30
492,1,651,1089.18,130
493,2,219,716.35,91
494,1,191,363.95,29
495,3,680,981.18,29
496,1,136,372.7,36
497,2,523,1000.39,75
498,2,633,1161.5,46
499,2,134,207.8,197
500,1,49,95.2,166
501,1,569,964.83,79
502,1,100,168.0,357
503,2,88,437.82,38
504,2,355,599.56,50
505,1,196,269.96,7
506,2,283,561.71,310
507,3,1110,2134.01,5
508,1,177,238.85,302
509,1,133,456.9,261
510,1,80,145.92,288
511,1,265,351.65,86
512,2,523,519.61,39
513,2,452,1020.42,8
514,1,84,160.54000000000002,227
515,1,61,218.45,315
516,5,967,1315.83,35
517,3,469,626.6,35
518,2,1196,2794.51,21
519,1,285,440.42,78
520,1,238,415.7,246
521,1,161,197.71,39
522,2,300,511.36,238
523,2,1279,2040.1,234
524,1,79,196.94000000000003,17
525,1,51,144.0,7
526,1,53,214.9,39
527,2,306,646.68,28
528,1,228,452.85,317
529,2,290,437.6,92
530,3,206,418.1,108
531,2,474,618.27,51
532,8,1964,3023.08,9
533,7,956,1032.58,29
534,5,245,577.0600000000001,189
535,1,162,153.12,58
536,1,63,739.1999999999999,21
537,2,201,254.18,79
538,1,1228,1579.51,60
539,3,648,1126.85,78
540,5,1049,2099.54,22
541,1,846,1193.32,52
542,1,262,704.0400000000001,74
543,5,1644,3344.38,57
544,1,76,315.6,277
545,4,1376,2291.19,2
546,2,284,713.3,95
547,1,210,352.98,29
548,1,96,177.31,21
549,3,1181,1339.41,14
550,1,69,180.1,232
551,1,191,305.1,276
552,2,355,641.13,106
553,2,1612,2683.82,211
554,3,448,786.46,4
555,2,548,1270.88,9
556,1,236,640.5,57
557,4,1162,2163.98,58
558,2,1172,1689.18,89
559,1,577,671.69,33
560,1,201,486.1,238
561,3,311,1174.58,23
562,1,72,185.9,115
563,3,552,1013.26,25
564,6,1808,3344.64,128
565,1,325,477.91,129
566,4,1084,1775.18,33
567,2,897,1346.97,4
568,1,160,318.05,154
569,3,586,623.51,107
570,1,254,314.44,3
571,1,78,114.0,334
572,1,505,919.98,331
573,2,919,2209.85,148
574,5,264,601.98,10
575,4,1044,1643.18,11
576,1,320,686.05,18
577,1,105,91.68,29
578,1,127,245.1,11
579,1,37,63.0,324
580,1,395,620.13,58
581,3,1115,2744.03,150
582,5,1397,2996.05,10
583,1,78,225.9,329
584,2,351,610.52,5
585,4,1133,1970.6,38
586,6,670,1331.39,24
587,4,554,1113.02,58
588,4,443,862.81,0
589,7,1985,2283.63,7
590,6,1523,2863.08,28
591,1,107,89.14,371
592,2,628,1247.61,25
593,1,106,389.01,205
594,6,394,1035.8,28
595,4,255,855.91,127
596,2,509,869.67,70
597,4,220,582.1,7
598,3,508,957.59,28
599,2,678,797.71,79
600,1,53,219.0,19
601,1,164,283.55,71
602,8,1006,2340.84,7
603,1,256,603.42,291
604,3,851,1149.02,96
605,1,508,848.55,0
606,1,192,343.36,106
607,2,708,1053.49,3
608,2,506,1030.98,151
609,1,203,238.25,71
610,2,374,644.95,5
611,6,1959,2656.13,31
612,4,566,997.63,85
613,5,434,725.07,3
614,4,445,1031.41,5
615,1,164,427.8,371
616,4,419,836.33,71
617,1,233,453.01,113
618,1,111,236.26,179
619,1,137,383.95,234
620,1,88,110.4,352
621,2,368,779.5699999999999,315
622,1,173,234.0,332
623,1,148,155.35,372
624,2,486,1013.04,78
625,1,342,427.6,63
626,2,315,540.13,134
627,1,137,275.88,128
628,1,144,112.07999999999998,86
629,3,902,1531.44,52
630,2,1227,1898.52,7
631,2,316,494.08,138
632,1,386,1693.88,316
633,1,356,1143.6,238
634,1,743,1351.45,210
635,1,556,892.47,59
636,5,877,1386.04,17
637,6,825,822.23,19
638,2,671,826.74,63
639,5,1086,2330.92,4
640,6,624,2225.91,2
641,2,280,532.8199999999999,9
642,1,131,311.95,364
643,3,261,463.66,9
644,1,4,91.85,65
645,1,166,324.92,192
646,1,97,192.6,373
647,1,217,400.54,256
648,2,295,545.48,334
649,2,592,860.41,53
650,1,68,430.48,18
651,1,118,254.03,365
652,1,314,427.58,186
653,3,188,483.65,36
654,1,220,489.31,177
655,3,230,514.85,260
656,1,164,229.64,44
657,1,49,125.92,101
658,2,379,1063.46,147
659,2,128,572.2,95
660,1,53,166.04,281
661,1,929,1542.08,261
662,4,722,942.34,3
663,1,70,92.72,214
664,2,550,948.88,70
665,5,230,1759.5,74
666,1,232,397.12,59
667,7,1058,1474.72,2
668,3,197,430.15,5
669,6,494,1018.71,2
670,2,376,293.0,336
671,1,135,215.05,262
672,2,195,383.03,32
673,1,156,417.38,145
674,1,110,312.38,282
675,4,1062,2610.36,59
676,1,24,134.1,173
677,2,355,671.95,33
678,4,1511,2726.77,143
679,2,547,1118.99,70
680,8,781,1702.26,65
681,2,125,325.96000000000004,29
682,4,204,354.09,267
683,1,873,843.64,22
684,2,597,1010.29,31
685,1,106,131.81,96
686,1,149,311.55,294
687,6,800,1957.1,134
688,3,626,1316.25,78
689,1,30,38.1,372
690,6,1076,2170.78,7
691,2,343,1106.4,210
692,1,188,521.2,52
693,1,216,147.12,138
694,2,925,1568.23,26
695,1,171,559.12,283
696,6,928,1607.0600000000002,185
697,2,200,380.64,84
698,2,319,599.97,326
699,1,128,374.0,282
700,2,2019,343.2300000000001,143
701,2,1941,2218.02,57
702,2,547,854.99,236
703,3,370,573.22,44
704,1,21,298.0,275
705,2,246,1463.04,9
706,4,196,703.47,24
707,1,43,309.05,88
708,3,655,1175.22,63
709,2,770,1378.4,67
710,2,76,354.12,214
711,1,256,376.72,24
712,3,950,331.0,185
713,1,90,176.55,30
714,2,210,372.8,42
715,2,110,216.5,204
716,1,66,138.68,264
717,2,294,496.06,18
718,5,1749,2919.81,11
719,2,1200,750.0,176
720,5,1280,2178.67,39
721,8,1692,3075.04,23
722,5,670,1662.3,2
723,5,1417,2453.63,4
724,2,93,363.65,148
725,4,1083,2944.95,138
726,1,120,594.0,128
727,6,673,1335.19,8
728,1,128,162.78,17
729,1,370,405.38,161
730,1,68,172.82,64
731,4,481,933.7,88
732,2,540,679.05,4
733,5,1472,2062.7000000000003,35
734,1,37,117.85,311
735,2,252,415.8,78
736,3,499,607.53,24
737,7,1853,2160.7,2
738,4,559,1063.9,17
739,4,1007,1504.27,15
740,1,140,114.14,25
741,2,404,899.69,54
742,3,198,675.6,131
743,2,289,604.51,35
744,1,165,462.95,288
745,6,1165,1603.99,143
746,7,1080,2064.95,16
747,3,1380,1843.0,2
748,6,503,1064.07,8
749,4,653,1387.79,5
750,1,84,329.85,9
751,1,34,108.07,306
752,2,129,266.39,7
753,8,881,1856.63,8
754,1,282,769.8100000000001,89
755,1,75,160.18,9
756,2,438,1660.9,358
757,1,73,135.95,112
758,4,268,405.47,7
759,1,24,144.8,197
760,1,561,738.6,211
761,1,12,39.24,156
762,2,242,372.22,29
763,1,288,390.54,242
764,1,26,97.5,18
765,2,1533,1239.38,0
766,2,219,558.7,73
767,1,126,505.82,292
768,3,200,409.5,31
769,2,405,503.76,23
770,4,240,414.76,23
771,3,459,974.42,4
772,1,108,211.32,85
773,4,664,1226.89,22
774,3,342,455.88,196
775,3,379,534.85,106
776,1,73,120.95,318
777,3,103,149.05,105
778,2,172,513.7,173
779,1,55,81.57,56
780,1,175,229.47,323
781,1,13,50.55,372
782,8,820,1646.84,9
783,5,1609,3339.64,53
784,3,527,789.89,73
785,2,286,689.9,64
786,5,1620,975.36,1
787,2,798,661.3199999999999,22
788,3,134,1247.5,30
789,2,348,752.4399999999999,11
790,2,375,1010.18,52
791,1,83,190.55,357
792,2,369,642.77,54
793,2,644,921.88,73
794,3,431,881.07,138
795,3,360,908.46,80
796,2,355,676.99,8
797,1,254,516.42,273
798,1,429,560.47,291
799,1,221,305.28000000000003,99
800,2,264,629.31,30
801,4,1228,1819.41,14
802,2,268,656.6800000000001,64
803,1,222,348.15000000000003,212
804,3,894,1214.41,78
805,3,52,271.40000000000003,24
806,1,35,183.4,249
807,1,123,307.53,253
808,1,107,248.61,72
809,1,342,331.98,191
810,4,514,1105.59,12
811,1,74,205.86,373
812,2,322,470.8,24
813,1,32,115.46,82
814,2,200,344.0,10
815,1,110,228.8,192
816,1,69,177.15,266
817,1,485,919.61,129
818,4,862,728.02,1
819,5,62,220.1,4
820,1,120,58.08,179
821,2,187,303.75,4
822,2,216,416.08,157
823,1,466,345.82,28
824,5,279,477.83,70
825,1,144,74.39999999999999,70
826,1,113,101.19,234
827,1,82,243.94,39
828,6,504,1098.48,3
829,4,1293,1531.62,44
830,1,298,350.06,372
831,2,520,786.54,59
832,7,388,1488.67,31
833,4,1567,2294.78,11
834,1,291,501.14,138
835,8,945,984.91,21
836,5,410,1197.81,19
837,1,252,283.73,269
838,2,585,922.39,94
839,1,127,259.17,77
840,1,32,64.0,94
841,3,447,1073.3,23
842,1,20,77.3,261
843,2,32,109.8,273
844,4,1059,1793.58,85
845,5,1328,2607.61,56
846,6,473,962.39,22
847,3,185,422.47,108
848,5,1548,2388.75,84
849,1,258,307.09,19
850,1,21,110.95,332
851,4,145,618.52,39
852,1,154,228.91,26
853,4,144,712.8000000000001,10
854,4,1280,1676.06,14
855,1,363,1257.87,295
856,1,418,486.22,5
857,4,497,971.76,33
858,4,1439,1741.22,49
859,4,784,1201.06,94
860,4,1058,1429.35,8
861,1,56,91.8,22
862,1,29,112.75,313
863,4,1713,1688.29,122
864,2,1376,1021.48,46
865,1,216,417.2,283
866,4,785,791.33,18
867,4,670,1299.59,36
868,2,272,712.88,63
869,1,141,108.81,26
870,3,229,468.41,21
871,2,277,353.65,4
872,1,448,481.49,46
873,1,91,282.45,64
874,1,201,121.18,45
875,3,820,1575.89,39
876,1,95,236.02,337
877,2,842,260.68,18
878,2,595,911.94,95
879,1,46,112.08,61
880,1,26,60.7,135
881,4,1224,1797.78,11
882,4,516,870.09,19
883,4,800,869.46,9
884,2,130,250.26,15
885,6,803,1217.65,58
886,1,316,353.48,93
887,3,834,1095.42,10
888,3,309,786.83,19
889,5,1360,1520.58,56
890,1,297,333.74,267
891,3,262,533.98,122
892,1,88,62.63999999999999,127
893,4,196,819.2900000000001,78
894,2,244,847.41,240
895,2,88,163.20000000000002,200
896,2,1518,2155.95,60
897,1,80,108.21,273
898,1,99,257.7,201
899,1,200,358.0,81
900,1,63,160.95,225
901,7,773,1328.35,12
902,2,1004,605.12,74
903,1,441,1031.07,212
904,2,416,744.85,24
905,4,298,700.73,17
906,1,327,329.56,261
907,4,298,663.65,96
908,3,130,270.40000000000003,112
909,1,232,585.12,203
910,1,38,121.74,92
911,1,125,430.5,50
912,6,1587,1961.52,18
913,4,328,501.12,17
914,2,305,465.68,124
915,3,546,711.41,92
916,2,1572,1030.4,156
917,2,177,399.51,9
918,3,282,672.83,11
919,1,126,283.18,61
920,1,142,557.62,61
921,2,210,944.1,268
922,1,125,200.29,263
923,5,1740,2092.66,53
924,1,240,211.49,37
925,2,96,276.56,31
926,1,153,138.98,113
927,2,161,590.9300000000001,63
928,4,176,258.4,15
929,1,537,542.73,40
930,1,73,137.75,78
931,3,518,798.46,122
932,3,307,1132.14,18
933,2,90,93.66,59
934,1,91,201.19,330
935,4,2051,2709.12,23
936,1,233,361.11,155
937,2,347,578.9399999999999,38
938,2,453,873.74,189
939,1,82,201.2,359
940,1,78,87.4,137
941,4,963,2089.85,7
942,1,96,360.0,1
943,1,30,142.5,268
944,1,203,371.89,169
945,4,345,618.09,103
946,1,238,300.42,351
947,3,843,1385.51,22
948,5,1544,1456.79,7
949,3,587,1132.03,28
950,2,305,598.57,4
951,5,851,1555.32,22
952,3,560,775.94,1
953,6,1035,2273.68,66
954,3,304,640.76,1
955,4,1086,1532.2,78
956,2,372,567.36,72
957,1,117,199.48,17
958,5,175,787.85,3
959,1,240,675.3,81
960,1,680,1308.48,316
961,2,463,789.0,31
962,3,751,1140.93,92
963,1,179,350.9,14
964,1,559,795.12,77
965,1,255,472.02,157
966,1,326,860.12,200
967,1,301,775.85,260
968,1,135,353.43,177
969,3,952,2511.69,67
970,1,141,389.5,287
971,1,205,341.36,70
972,1,136,233.76,64
973,1,225,247.32,10
974,2,287,979.12,16
975,1,117,373.94,66
976,1,321,397.98,60
977,1,604,743.53,71
978,1,314,674.7,122
979,1,325,768.24,80
980,1,321,609.4,257
981,1,285,439.03,268
982,1,161,439.56,63
983,4,1382,3090.74,9
984,2,710,992.5,17
985,1,71,134.95999999999998,71
986,2,1247,2225.37,33
987,2,327,623.4,256
988,1,149,308.28000000000003,365
989,1,343,754.87,371
990,1,159,378.64,89
991,3,1651,3312.25,60
992,1,442,778.65,88
993,3,493,1019.76,99
994,3,601,572.56,26
995,1,131,222.99,280
996,1,281,534.57,329
997,2,282,677.1,131
998,3,428,782.96,11
999,1,224,544.08,74
1000,1,336,307.72,185
1001,2,600,1360.99,29
1002,5,430,1544.13,72
1003,1,281,457.34,192
1004,2,479,621.23,127
1005,1,44,75.0,17
1006,2,111,252.49,1
1007,3,165,572.451,74
1008,5,518,1003.06,24
1009,1,72,213.55,107
1010,3,1574,1390.5,133
1011,2,142,712.5,43
1012,2,162,640.83,4
1013,1,275,221.06,63
1014,2,101,159.85,149
1015,2,1128,1833.71,40
1016,1,1326,2626.3,64
1017,3,1122,1609.21,108
1018,3,545,582.6,19
1019,1,151,201.78,10
1020,4,1390,1006.8,10
1021,2,751,679.45,18
1022,2,672,1269.1,67
1023,2,300,534.24,74
1024,1,76,196.89,1
1025,7,1283,3408.06,14
1026,1,242,283.71,255
1027,1,204,296.64,91
1028,3,584,1129.14,23
1029,1,222,291.88,23
1030,6,1982,2043.72,26
1031,2,2,590.0,259
1032,2,134,356.98,165
1033,2,354,1058.34,24
1034,6,764,1751.72,17
1035,2,286,183.44,29
1036,3,1170,1445.0,38
1037,1,62,151.5,252
1038,1,403,674.68,58
1039,1,259,307.9,184
1040,2,580,1071.91,10
1041,2,100,165.0,99
1042,2,266,422.64,60
1043,1,129,226.84,236
1044,4,1012,1431.78,191
1045,2,417,1238.47,178
1046,6,1021,1454.58,37
1047,2,134,300.95,200
1048,5,1142,1804.56,45
1049,1,116,184.64,232
1050,1,160,140.34,65
1051,1,44,313.8,241
1052,1,277,454.24,233
1053,3,669,1122.41,78
1054,3,265,575.4,57
1055,4,560,449.52,105
1056,3,408,1269.84,136
1057,2,380,618.63,275
1058,1,162,316.26000000000005,311
1059,5,829,2044.87,7
1060,2,341,653.33,10
1061,2,163,348.05,282
1062,5,1365,1159.11,17
1063,3,609,1166.77,23
1064,1,560,1340.32,288
1065,3,264,292.0,16
1066,1,248,216.85,71
1067,1,178,295.93,64
1068,2,324,458.52,316
1069,4,1597,2479.16,3
1070,1,24,110.97,243
1071,7,1106,979.72,8
1072,4,1386,1791.56,1
1073,1,143,251.21,260
1074,1,109,205.1,126
1075,1,40,152.20000000000002,73
1076,4,681,891.12,72
1077,3,984,1374.41,21
1078,3,1369,2128.42,59
1079,1,382,627.16,85
1080,1,23,122.75,78
1081,1,44,125.8,30
1082,5,322,650.1800000000001,40
1083,2,394,628.78,14
1084,7,1683,2242.36,33
1085,2,74,307.76,78
1086,2,174,483.8,205
1087,1,129,210.31,33
1088,3,202,269.09,182
1089,7,175,1280.85,43
1090,3,320,631.34,85
1091,2,112,276.06,39
1092,3,357,621.09,12
1093,2,436,678.16,96
1094,7,458,918.2,25
1095,1,12,91.8,319
1096,2,546,584.06,28
1097,4,338,594.52,5
